train_count,track_utilization,block_duration,time,train_priority,previous_delay,congestion,expected_delay
3,15.0,4,15,2,13.1,LOW,42.1
13,39.0,5,21,1,1.7,LOW,64.14
15,48.8,1,21,3,3.7,MEDIUM,49.17
18,60.1,3,19,2,0.7,MEDIUM,63.3
12,46.8,2,0,1,13.2,LOW,50.82
16,46.2,2,9,1,29.6,MEDIUM,69.63
5,20.3,1,7,1,6.9,LOW,24.94
17,57.0,2,17,3,11.6,MEDIUM,70.05
12,45.9,5,0,1,4.1,LOW,52.4
12,43.2,1,1,3,6.6,LOW,36.04
11,36.6,1,0,3,3.4,LOW,36.63
11,31.4,1,0,2,9.5,LOW,41.21
17,59.9,2,8,2,2.3,MEDIUM,59.98
4,15.0,4,12,1,1.3,LOW,32.05
13,43.6,2,0,1,18.3,LOW,61.03
4,18.3,1,12,1,16.0,LOW,25.87
24,90.5,2,19,2,14.4,HIGH,82.39
21,61.6,2,21,1,13.8,MEDIUM,67.67
7,28.5,1,6,1,10.5,LOW,31.5
14,55.4,2,1,1,16.6,MEDIUM,54.78
12,39.8,1,5,3,1.9,LOW,40.83
11,30.5,3,6,1,16.3,LOW,44.02
9,32.8,2,13,3,20.0,LOW,49.92
18,60.1,3,17,1,10.1,MEDIUM,65.35
5,38.1,5,14,2,7.3,LOW,46.98
5,19.0,4,1,1,2.2,LOW,35.5
23,75.3,1,9,2,16.1,HIGH,75.73
5,15.0,4,22,2,6.9,LOW,41.77
15,45.2,3,11,1,7.5,MEDIUM,70.41
14,52.9,3,16,2,7.5,MEDIUM,58.28
10,23.6,1,7,2,16.1,LOW,36.12
17,47.6,1,10,2,1.2,MEDIUM,49.81
13,50.2,5,2,2,0.5,MEDIUM,60.62
4,15.0,1,5,1,2.0,LOW,16.54
17,56.2,1,8,2,5.4,MEDIUM,62.69
9,34.1,2,5,3,5.1,LOW,37.91
22,73.4,4,8,3,5.7,HIGH,84.17
4,15.0,2,6,3,1.0,LOW,35.11
16,50.4,4,8,1,12.6,MEDIUM,73.17
12,43.6,2,17,2,2.9,LOW,47.88
22,75.2,1,11,2,19.6,HIGH,81.43
7,32.8,2,7,1,14.7,LOW,29.58
3,15.0,2,7,2,0.5,LOW,22.99
21,66.2,2,17,2,0.4,MEDIUM,66.72
15,59.4,2,19,1,7.9,MEDIUM,59.63
4,22.4,1,14,1,0.6,LOW,15.76
14,43.4,1,6,2,6.8,LOW,41.15
17,61.2,3,10,1,0.7,MEDIUM,61.3
25,89.0,2,19,1,5.2,HIGH,76.0
7,25.8,1,15,1,4.3,LOW,34.59
6,15.0,1,3,1,7.2,LOW,29.43
6,38.3,2,5,3,3.5,LOW,32.81
14,45.0,4,21,1,1.2,LOW,59.85
11,39.6,2,2,2,14.8,LOW,39.44
23,83.7,1,8,3,2.8,HIGH,70.41
13,41.7,2,9,2,0.6,LOW,49.29
12,48.2,3,13,1,5.6,LOW,45.69
21,71.4,2,10,2,16.8,HIGH,71.16
17,54.0,1,17,1,2.6,MEDIUM,50.3
25,76.4,3,21,1,4.8,HIGH,74.85
23,75.9,2,11,2,4.1,HIGH,75.07
9,32.8,1,22,2,0.4,LOW,31.77
20,66.1,1,11,2,16.2,MEDIUM,60.19
10,37.9,2,12,3,11.4,LOW,48.21
11,47.3,3,12,2,0.8,LOW,43.58
23,76.4,5,18,2,1.1,HIGH,88.37
20,74.9,2,18,3,0.1,HIGH,65.64
8,28.3,3,22,1,34.0,LOW,56.36
3,15.0,1,13,1,4.3,LOW,18.23
12,40.9,4,3,2,21.3,LOW,64.18
8,29.6,2,12,2,4.4,LOW,29.85
5,15.0,2,7,1,0.9,LOW,23.6
5,15.0,1,22,1,3.4,LOW,23.07
18,57.6,1,20,1,4.3,MEDIUM,65.4
6,15.0,3,22,2,1.6,LOW,37.62
23,70.9,1,18,2,0.4,HIGH,71.29
17,57.3,1,11,3,3.0,MEDIUM,60.79
21,68.0,1,17,2,6.2,MEDIUM,60.49
12,40.5,1,5,2,2.4,LOW,37.56
25,88.8,2,17,1,25.5,HIGH,92.89
20,69.5,2,18,1,5.3,MEDIUM,65.7
13,43.5,1,21,1,1.1,LOW,47.44
5,15.0,2,4,2,4.3,LOW,26.44
3,15.0,3,23,1,9.8,LOW,28.86
23,74.1,4,8,2,5.3,HIGH,78.35
10,38.2,2,2,2,3.2,LOW,47.14
15,46.2,2,9,1,0.9,MEDIUM,47.16
12,33.9,1,18,3,4.9,LOW,46.06
6,28.9,2,2,2,0.8,LOW,29.75
25,74.2,3,21,1,3.7,HIGH,77.61
11,47.5,2,14,1,1.0,LOW,35.05
7,24.4,2,0,2,9.0,LOW,31.25
7,21.8,2,6,1,11.8,LOW,30.78
12,38.2,4,11,1,2.2,LOW,59.95
7,29.1,4,16,2,0.6,LOW,44.73
23,79.5,3,20,3,3.4,HIGH,78.53
11,38.4,1,23,1,6.6,LOW,45.33
13,43.8,1,19,3,11.7,LOW,50.89
5,15.0,3,4,2,4.1,LOW,27.9
4,21.1,1,3,1,3.6,LOW,16.21
24,78.8,2,11,2,19.1,HIGH,84.1
12,33.1,2,19,1,4.8,LOW,42.66
13,46.0,2,23,1,4.7,LOW,47.98
12,32.2,2,17,2,4.2,LOW,40.6
14,56.4,4,16,2,3.6,MEDIUM,63.41
13,46.7,1,18,1,10.4,LOW,44.29
14,34.9,3,8,3,2.6,LOW,63.6
10,36.3,3,3,2,3.8,LOW,40.91
14,45.4,4,20,3,2.7,LOW,68.03
12,48.4,2,1,1,6.8,LOW,48.27
4,15.0,2,3,3,25.8,LOW,35.98
8,26.5,5,1,1,4.0,LOW,46.02
9,28.2,2,14,1,27.6,LOW,41.69
14,45.8,2,1,2,8.6,LOW,52.87
3,15.0,2,3,2,12.7,LOW,32.61
12,37.4,1,5,2,3.2,LOW,28.02
11,31.4,2,6,1,2.0,LOW,37.45
20,65.5,3,9,1,6.9,MEDIUM,70.19
20,74.6,3,18,2,37.5,HIGH,89.3
13,53.9,1,18,1,9.9,MEDIUM,53.59
20,69.3,3,21,2,9.2,MEDIUM,76.78
19,61.0,2,11,1,4.8,MEDIUM,58.31
11,28.9,2,2,3,16.9,LOW,48.5
4,15.0,5,12,2,9.6,LOW,52.27
24,74.1,1,17,2,9.0,HIGH,73.53
8,25.9,3,7,3,2.8,LOW,37.62
19,64.2,2,20,2,25.3,MEDIUM,71.54
7,24.9,3,14,1,2.3,LOW,36.09
8,27.8,2,0,1,5.9,LOW,30.19
5,15.0,1,2,2,3.3,LOW,18.52
11,31.6,2,7,1,1.6,LOW,37.82
4,15.0,2,3,2,1.2,LOW,29.93
14,44.9,1,15,1,2.8,LOW,36.24
4,15.0,3,22,1,9.3,LOW,27.38
24,77.0,2,9,2,29.4,HIGH,84.92
18,80.2,3,11,3,15.4,HIGH,80.72
12,48.2,2,13,2,2.0,LOW,47.78
5,15.0,2,13,3,0.7,LOW,32.8
4,21.6,5,1,3,9.3,LOW,46.74
8,37.2,5,22,1,0.2,LOW,49.46
14,40.1,1,4,1,15.7,LOW,37.18
8,20.1,4,4,2,14.0,LOW,47.33
9,31.3,2,5,3,12.6,LOW,40.7
6,26.8,1,12,2,6.4,LOW,22.5
17,59.8,2,8,3,29.1,MEDIUM,80.27
25,74.7,5,21,1,4.9,HIGH,84.63
12,36.0,5,14,1,34.5,LOW,73.72
3,15.0,1,13,2,17.1,LOW,34.33
7,28.8,3,23,1,1.1,LOW,31.15
8,18.7,3,6,1,18.0,LOW,42.09
16,46.8,2,19,1,2.9,MEDIUM,54.97
5,17.4,3,1,1,11.7,LOW,39.57
4,15.0,2,6,2,0.0,LOW,27.66
5,22.4,1,5,3,2.6,LOW,27.17
5,15.0,3,16,3,11.4,LOW,39.61
9,37.1,1,1,2,28.7,LOW,41.53
3,15.7,2,2,1,1.5,LOW,25.42
13,43.6,1,4,2,4.9,LOW,44.04
6,17.2,3,4,1,7.1,LOW,38.08
13,54.3,2,0,1,24.4,MEDIUM,54.11
5,19.8,2,7,1,4.8,LOW,28.42
19,62.9,2,11,2,21.7,MEDIUM,76.09
13,38.4,1,23,3,30.6,LOW,49.82
9,38.4,4,3,2,22.7,LOW,63.29
3,15.0,2,12,2,11.0,LOW,31.27
10,30.8,2,22,1,1.1,LOW,29.67
12,36.3,1,14,2,7.4,LOW,34.48
18,58.9,1,10,2,11.2,MEDIUM,62.03
23,80.6,4,9,1,24.8,HIGH,100.9
14,44.5,2,2,1,12.0,LOW,48.33
15,50.4,3,21,3,6.2,MEDIUM,69.07
10,29.8,1,13,2,1.8,LOW,31.71
13,47.1,2,15,3,4.9,LOW,50.53
23,77.6,4,9,2,8.1,HIGH,90.39
25,77.6,1,9,3,3.1,HIGH,79.06
21,70.6,2,11,1,4.9,HIGH,64.44
12,42.2,4,8,1,0.1,LOW,55.63
5,15.0,3,0,1,16.9,LOW,33.14
9,18.1,1,4,1,0.3,LOW,26.57
17,65.3,2,19,2,4.2,MEDIUM,63.67
14,41.6,1,7,2,5.7,LOW,38.97
13,47.9,4,10,2,28.7,LOW,74.72
20,65.7,2,11,1,21.9,MEDIUM,76.66
5,16.4,5,0,3,8.3,LOW,49.94
24,80.4,1,21,1,7.0,HIGH,65.82
12,46.8,2,19,1,3.7,LOW,49.84
15,52.4,1,10,2,0.3,MEDIUM,48.22
11,38.3,2,4,2,2.5,LOW,42.23
8,19.9,1,14,1,15.1,LOW,24.19
6,29.4,2,4,1,8.4,LOW,34.76
22,65.7,3,11,2,13.5,MEDIUM,83.34
11,45.2,1,4,1,14.5,LOW,35.06
9,19.6,2,16,1,0.5,LOW,31.92
9,41.5,4,16,2,3.3,LOW,46.74
10,36.5,5,23,1,9.0,LOW,58.53
24,78.5,1,11,1,15.3,HIGH,74.7
4,15.0,4,23,1,12.9,LOW,43.21
3,15.0,1,14,3,4.4,LOW,28.48
4,16.4,2,14,3,21.5,LOW,36.55
5,17.3,4,5,1,2.9,LOW,36.41
12,38.4,3,11,1,3.8,LOW,59.17
12,36.4,4,19,1,1.6,LOW,47.52
13,51.3,3,17,1,2.1,MEDIUM,50.5
13,42.3,1,13,2,0.1,LOW,42.94
5,19.2,2,1,2,3.0,LOW,25.02
13,47.5,2,8,1,2.9,LOW,56.3
13,36.8,2,4,1,0.6,LOW,36.98
20,67.4,1,19,1,3.3,MEDIUM,61.66
7,31.7,2,0,1,2.9,LOW,32.66
7,25.5,4,22,1,12.8,LOW,44.67
10,36.7,4,2,2,1.4,LOW,51.13
12,38.3,2,5,2,10.3,LOW,47.45
7,30.3,2,4,2,1.1,LOW,35.56
25,96.7,3,20,1,5.5,HIGH,90.46
9,25.9,2,4,2,10.7,LOW,42.37
14,52.3,5,0,1,7.5,MEDIUM,68.51
12,32.5,1,16,1,8.3,LOW,35.11
25,88.7,2,18,2,1.8,HIGH,72.83
10,36.6,4,13,1,14.1,LOW,48.8
15,44.1,4,11,2,24.3,LOW,81.43
20,73.6,2,9,2,1.3,HIGH,75.45
18,55.2,1,19,3,17.5,MEDIUM,61.26
14,59.2,3,20,3,4.1,MEDIUM,62.06
17,58.7,2,17,1,9.6,MEDIUM,59.84
3,15.0,3,23,3,5.7,LOW,34.22
19,60.6,2,10,2,12.6,MEDIUM,73.78
5,20.6,1,1,2,0.4,LOW,26.64
24,83.6,1,17,1,3.1,HIGH,63.99
14,48.5,2,6,3,0.4,MEDIUM,45.2
12,36.3,1,23,1,22.7,LOW,37.98
7,22.2,1,14,2,1.5,LOW,23.1
22,70.4,2,10,1,4.4,HIGH,63.12
21,61.1,2,17,2,8.2,MEDIUM,72.71
12,40.0,1,22,1,5.0,LOW,31.3
14,40.9,1,11,1,6.2,LOW,47.08
8,39.3,4,5,1,1.8,LOW,39.27
25,96.3,1,19,1,0.6,HIGH,83.46
11,39.5,2,22,1,2.4,LOW,40.87
13,33.2,2,12,1,3.1,LOW,44.32
14,50.3,4,19,2,4.3,MEDIUM,64.32
14,46.3,2,15,2,2.8,LOW,50.62
23,84.9,1,17,2,0.3,HIGH,67.4
15,57.1,1,9,1,0.8,MEDIUM,55.58
5,15.0,3,22,1,9.0,LOW,28.75
7,21.6,3,7,1,0.5,LOW,33.42
13,41.6,2,17,3,0.4,LOW,52.07
17,55.3,1,20,3,13.4,MEDIUM,57.12
5,15.0,2,0,1,0.3,LOW,27.83
7,26.1,2,22,1,0.6,LOW,25.6
10,34.5,3,7,3,6.4,LOW,42.45
4,15.0,1,5,3,4.7,LOW,27.51
6,22.0,2,4,3,26.7,LOW,38.32
10,36.0,1,14,2,22.1,LOW,45.71
20,75.0,2,21,1,8.6,HIGH,72.77
10,39.4,2,14,1,0.6,LOW,32.29
8,33.4,4,1,1,5.6,LOW,47.93
3,15.0,2,0,1,0.4,LOW,16.77
7,17.1,2,22,1,19.1,LOW,34.15
12,46.5,1,22,2,8.6,LOW,42.24
23,88.4,1,10,1,6.8,HIGH,64.86
22,79.9,1,9,1,4.5,HIGH,60.69
19,66.6,1,17,1,5.7,MEDIUM,63.4
12,40.8,1,17,1,4.1,LOW,33.64
4,30.8,5,16,1,0.8,LOW,40.34
3,15.2,2,7,2,8.7,LOW,28.6
7,22.6,1,14,2,45.0,LOW,48.19
13,56.1,1,7,1,1.0,MEDIUM,45.29
12,51.1,2,16,2,41.2,MEDIUM,66.25
14,39.0,2,11,1,18.4,LOW,57.44
10,26.6,1,7,2,18.0,LOW,38.67
14,46.4,2,13,1,14.2,LOW,48.58
12,48.5,4,3,1,20.6,LOW,59.68
4,15.0,2,0,3,2.3,LOW,27.95
8,21.1,2,0,1,4.6,LOW,33.17
21,76.3,3,18,1,5.2,HIGH,72.11
12,29.2,1,15,1,0.6,LOW,35.31
3,15.0,1,13,1,31.7,LOW,30.77
13,37.8,2,20,1,9.4,LOW,46.29
8,27.2,3,15,3,4.8,LOW,43.82
9,24.9,2,4,2,38.9,LOW,51.84
16,53.5,1,8,2,2.5,MEDIUM,51.73
11,39.9,4,1,1,3.3,LOW,51.37
17,58.6,2,17,1,1.7,MEDIUM,51.0
10,30.8,3,5,1,1.7,LOW,38.93
21,69.3,4,8,1,1.7,MEDIUM,75.54
5,30.5,2,0,2,7.6,LOW,31.37
19,69.9,3,8,1,2.8,MEDIUM,69.64
11,36.0,3,15,3,24.2,LOW,57.21
10,35.1,4,12,1,13.6,LOW,50.44
13,46.9,1,8,1,1.4,LOW,43.44
20,63.4,4,20,1,14.4,MEDIUM,75.48
13,44.2,1,12,1,3.4,LOW,33.24
19,58.2,3,8,1,2.1,MEDIUM,73.38
16,48.4,2,10,1,12.2,MEDIUM,56.55
9,35.9,1,3,1,15.6,LOW,35.42
5,23.0,1,1,2,25.8,LOW,39.34
8,34.1,2,5,2,4.4,LOW,38.3
10,33.6,2,13,1,6.6,LOW,35.13
4,15.0,1,3,1,7.6,LOW,13.19
10,34.1,1,5,2,7.9,LOW,30.33
23,67.5,2,18,3,4.1,HIGH,70.88
6,28.7,2,5,2,1.3,LOW,29.66
9,15.0,2,1,1,0.6,LOW,32.14
15,56.8,4,17,2,18.9,MEDIUM,71.5
8,21.3,2,12,2,3.7,LOW,30.22
24,81.6,1,8,1,1.6,HIGH,71.86
8,22.1,2,22,3,32.9,LOW,57.1
15,46.0,3,18,1,13.0,MEDIUM,63.99
11,22.8,1,12,3,31.8,LOW,48.23
25,77.4,2,10,2,2.6,HIGH,75.74
5,22.5,2,0,2,5.0,LOW,26.51
6,15.0,5,23,2,13.2,LOW,53.43
22,67.2,2,21,1,6.4,MEDIUM,68.97
7,23.2,3,6,2,3.5,LOW,34.12
15,37.0,2,20,3,1.4,LOW,52.89
5,15.0,3,14,2,6.6,LOW,38.55
8,28.8,2,0,3,7.3,LOW,36.75
12,43.0,2,11,3,10.2,LOW,53.57
5,15.0,2,6,3,12.5,LOW,45.42
6,27.6,4,14,2,1.0,LOW,38.28
24,87.7,1,20,2,7.9,HIGH,75.63
12,30.4,1,18,1,12.2,LOW,42.14
8,31.5,3,0,2,3.9,LOW,51.62
3,15.0,2,16,1,2.6,LOW,26.87
14,50.7,1,16,1,5.2,MEDIUM,42.94
10,30.3,1,2,1,3.0,LOW,26.96
22,67.0,2,11,3,5.7,MEDIUM,70.4
6,19.5,2,5,3,3.0,LOW,39.83
22,77.1,3,10,2,4.4,HIGH,72.41
7,26.2,1,2,1,19.7,LOW,34.87
8,29.3,4,7,2,19.9,LOW,55.46
3,15.0,2,13,2,38.8,LOW,49.82
10,42.2,1,13,1,5.3,LOW,28.06
13,51.4,2,9,1,1.5,MEDIUM,52.07
3,15.0,3,1,1,17.6,LOW,36.19
9,24.9,1,13,2,7.3,LOW,34.58
14,49.2,3,8,2,11.0,MEDIUM,64.42
14,45.0,3,2,1,1.4,LOW,55.19
23,76.1,1,20,3,3.1,HIGH,71.23
5,21.0,1,7,1,2.6,LOW,18.33
8,24.7,1,15,1,6.6,LOW,21.92
11,45.9,3,1,1,47.0,LOW,64.91
8,31.0,1,5,1,7.6,LOW,27.84
14,53.6,3,20,1,6.8,MEDIUM,63.26
22,69.4,2,11,1,11.4,HIGH,66.08
5,15.0,3,4,2,3.2,LOW,41.99
6,15.0,2,1,1,2.3,LOW,26.25
6,28.3,2,15,2,14.6,LOW,41.72
11,54.7,4,4,2,25.9,MEDIUM,69.9
10,37.1,3,14,1,4.4,LOW,39.19
15,52.6,2,11,2,0.3,MEDIUM,55.18
7,20.9,2,3,1,1.6,LOW,33.83
12,50.5,2,14,2,15.6,LOW,54.65
13,43.9,2,10,3,1.0,LOW,54.95
6,16.5,2,15,1,11.5,LOW,32.81
5,15.0,2,22,3,7.7,LOW,30.36
14,41.3,5,5,2,10.4,LOW,58.96
3,15.0,2,13,3,2.4,LOW,33.23
13,33.2,1,17,2,0.1,LOW,40.47
12,33.4,2,11,1,0.3,LOW,39.54
19,74.6,1,10,3,10.3,HIGH,75.07
4,18.6,1,12,1,7.6,LOW,22.32
15,49.0,2,20,1,14.7,MEDIUM,50.26
3,15.9,2,22,1,4.1,LOW,18.07
15,46.4,5,10,1,6.5,MEDIUM,70.29
7,28.5,5,22,2,12.2,LOW,51.18
5,15.0,1,15,2,5.5,LOW,25.44
4,25.4,2,14,3,40.1,LOW,47.07
16,47.6,3,20,1,10.9,MEDIUM,61.3
10,43.2,1,14,3,9.2,LOW,43.37
10,33.2,3,3,3,12.9,LOW,46.29
13,32.9,4,10,1,12.0,LOW,55.47
22,76.7,3,18,1,2.0,HIGH,77.07
13,48.4,2,14,2,1.9,LOW,46.84
3,19.2,4,3,2,7.5,LOW,43.49
19,69.2,4,20,2,4.6,MEDIUM,72.6
3,15.0,3,12,2,16.4,LOW,36.58
25,91.2,2,21,1,2.7,HIGH,72.74
25,85.3,3,18,1,3.2,HIGH,80.79
12,31.3,2,1,2,1.5,LOW,46.38
4,15.0,1,13,1,32.0,LOW,34.36
9,23.5,2,3,2,1.0,LOW,32.24
14,46.8,5,15,2,32.5,MEDIUM,77.12
15,55.4,3,20,2,9.8,MEDIUM,64.67
12,34.0,3,19,3,0.7,LOW,51.81
4,15.4,2,13,1,1.3,LOW,20.41
8,33.7,2,14,2,3.2,LOW,33.28
6,16.7,4,2,2,2.4,LOW,43.79
8,25.5,2,7,3,28.9,LOW,48.07
14,54.0,3,15,2,7.6,MEDIUM,55.78
16,61.1,2,9,1,0.6,MEDIUM,54.24
13,37.2,3,3,3,6.0,LOW,61.55
21,65.2,4,17,2,18.2,MEDIUM,79.64
5,21.7,2,1,1,4.3,LOW,24.74
7,22.4,1,16,2,8.8,LOW,29.6
7,22.9,1,12,3,11.9,LOW,33.58
12,30.3,4,3,2,1.6,LOW,54.19
12,38.0,3,10,1,15.5,LOW,67.31
9,29.6,3,6,2,4.8,LOW,35.82
23,82.5,2,11,2,0.5,HIGH,69.16
23,76.0,3,9,2,16.9,HIGH,84.88
5,21.4,2,6,1,6.6,LOW,29.82
4,15.0,1,12,1,1.8,LOW,13.3
5,24.5,5,6,2,3.1,LOW,46.76
8,27.1,2,23,2,6.7,LOW,33.71
13,41.1,2,16,1,3.7,LOW,44.6
21,67.0,2,9,1,2.1,MEDIUM,65.37
25,78.8,1,9,1,5.2,HIGH,71.34
6,22.3,2,23,2,1.6,LOW,32.46
13,56.0,1,3,1,2.3,MEDIUM,42.83
23,82.9,3,19,1,14.0,HIGH,76.33
12,43.3,2,3,1,2.1,LOW,41.87
25,77.6,2,21,2,9.5,HIGH,83.58
11,30.3,2,6,1,2.3,LOW,38.45
23,83.9,3,21,1,1.9,HIGH,74.03
3,15.0,1,0,3,2.3,LOW,22.24
21,67.6,5,11,1,5.1,MEDIUM,81.97
13,33.9,2,23,1,1.3,LOW,39.76
13,43.0,1,12,3,0.9,LOW,41.27
24,76.2,2,9,1,11.3,HIGH,75.08
14,44.4,2,14,2,0.2,LOW,48.44
11,29.7,3,12,1,3.9,LOW,36.19
6,25.2,2,22,2,4.0,LOW,30.09
16,50.7,2,21,1,17.9,MEDIUM,58.42
17,60.9,1,21,2,11.9,MEDIUM,63.31
15,53.3,1,20,1,5.7,MEDIUM,48.79
21,67.9,3,21,1,5.2,MEDIUM,70.31
21,70.3,2,8,2,6.7,HIGH,69.59
23,88.8,1,8,3,3.5,HIGH,71.93
9,24.4,1,14,1,9.7,LOW,35.91
18,56.2,2,9,2,9.3,MEDIUM,64.15
13,31.6,3,23,1,6.8,LOW,50.63
25,84.1,3,9,2,0.5,HIGH,80.93
6,15.0,1,7,1,1.1,LOW,26.1
11,34.5,2,23,2,0.3,LOW,44.24
10,23.1,2,15,1,10.1,LOW,37.1
14,52.0,4,16,1,5.2,MEDIUM,60.25
3,15.0,2,4,1,24.8,LOW,32.88
9,15.0,1,3,1,24.3,LOW,35.2
12,35.0,2,17,3,12.8,LOW,54.46
12,37.9,2,23,3,4.7,LOW,46.86
22,78.0,3,18,2,3.0,HIGH,77.62
9,35.8,1,3,1,1.8,LOW,26.83
13,46.6,2,6,1,2.1,LOW,44.78
20,69.8,2,9,2,37.1,MEDIUM,78.34
22,77.3,1,17,3,6.0,HIGH,71.96
25,88.9,2,18,1,0.1,HIGH,71.75
12,40.9,2,3,2,0.4,LOW,48.05
23,76.9,3,9,3,4.9,HIGH,85.43
7,24.9,1,0,3,4.7,LOW,32.55
7,30.8,4,22,1,4.2,LOW,44.86
15,36.9,1,17,1,13.9,LOW,52.53
8,15.0,1,4,1,9.7,LOW,29.91
9,34.0,3,14,2,0.9,LOW,35.76
7,18.4,4,16,1,3.6,LOW,37.17
11,37.8,1,2,1,7.3,LOW,33.04
16,54.2,4,11,2,3.9,MEDIUM,66.38
13,57.2,1,1,1,1.9,MEDIUM,46.76
11,41.5,2,0,1,7.9,LOW,41.7
9,36.6,1,22,2,7.4,LOW,39.24
17,55.9,2,20,2,29.4,MEDIUM,71.62
5,15.0,2,16,2,6.6,LOW,26.7
14,42.5,2,21,1,16.6,LOW,56.53
6,27.8,2,15,2,23.8,LOW,39.93
9,33.7,2,4,2,4.6,LOW,43.64
4,15.0,5,14,1,0.4,LOW,31.6
13,54.5,1,2,2,1.2,MEDIUM,45.51
7,23.0,1,6,1,5.6,LOW,26.04
23,73.6,3,10,1,17.9,HIGH,81.41
22,72.7,1,9,1,8.5,HIGH,65.23
25,91.4,2,8,1,1.8,HIGH,77.96
12,32.6,2,13,1,9.7,LOW,41.63
13,43.9,2,12,2,18.0,LOW,56.45
11,47.1,4,1,1,0.2,LOW,42.85
3,15.0,1,2,3,2.2,LOW,20.11
12,39.6,1,6,2,1.3,LOW,34.08
23,89.8,1,20,1,12.3,HIGH,66.79
16,56.5,1,17,1,17.8,MEDIUM,58.59
13,34.5,2,2,2,6.5,LOW,51.05
14,46.6,3,9,2,15.1,LOW,66.18
13,51.5,3,21,1,8.6,MEDIUM,57.06
8,28.2,3,6,1,8.6,LOW,43.28
19,73.9,1,8,2,6.9,MEDIUM,65.82
5,15.0,1,16,1,0.4,LOW,15.02
19,64.1,5,10,3,22.1,MEDIUM,89.56
14,49.7,1,6,2,3.5,MEDIUM,50.94
3,15.0,5,23,1,13.0,LOW,47.53
11,37.4,3,13,1,13.3,LOW,50.2
19,67.1,4,18,1,27.0,MEDIUM,87.57
4,15.0,2,3,2,3.2,LOW,31.28
6,15.0,1,5,1,47.6,LOW,46.41
18,68.3,2,9,1,2.9,MEDIUM,65.23
8,27.9,3,6,2,4.8,LOW,38.07
13,30.1,1,12,1,9.8,LOW,38.66
10,29.9,3,13,1,1.3,LOW,43.79
10,34.5,1,3,2,2.5,LOW,34.81
6,15.0,2,7,1,10.4,LOW,29.48
8,21.7,4,4,3,29.3,LOW,56.93
11,35.5,1,0,2,10.6,LOW,33.54
9,28.7,1,3,1,15.9,LOW,32.0
10,27.7,1,2,1,0.3,LOW,23.84
21,70.6,1,8,1,6.9,HIGH,64.19
4,15.0,1,7,2,19.6,LOW,26.53
9,29.4,1,0,1,9.2,LOW,31.6
5,18.9,1,5,3,9.0,LOW,30.03
24,70.4,3,8,2,1.8,HIGH,79.53
4,17.9,4,6,1,15.8,LOW,38.48
3,15.0,2,3,2,16.0,LOW,29.36
13,47.1,1,12,1,7.6,LOW,40.9
11,36.3,1,16,2,4.4,LOW,36.98
12,39.6,3,1,2,13.9,LOW,56.82
12,40.1,3,4,1,5.0,LOW,47.25
24,82.0,5,11,1,13.8,HIGH,89.6
22,79.6,1,20,3,5.3,HIGH,69.41
3,15.0,3,7,2,6.9,LOW,29.08
13,42.5,2,5,3,11.0,LOW,50.45
14,51.1,4,7,1,2.5,MEDIUM,58.45
12,43.7,2,17,1,2.3,LOW,49.95
5,21.2,2,2,1,8.8,LOW,29.87
24,79.3,3,21,2,24.6,HIGH,85.11
17,65.5,3,11,1,4.7,MEDIUM,62.89
9,35.4,1,2,1,18.3,LOW,35.47
13,37.7,1,21,2,5.8,LOW,48.82
10,29.2,2,5,2,29.2,LOW,44.28
4,22.7,1,1,1,12.6,LOW,20.12
9,19.5,2,22,1,15.7,LOW,39.7
18,61.0,5,11,2,9.1,MEDIUM,82.8
13,56.8,2,1,1,16.2,MEDIUM,57.64
12,47.2,3,5,1,7.2,LOW,57.06
7,30.0,3,16,1,6.7,LOW,34.47
12,33.6,3,2,2,16.6,LOW,48.62
5,21.8,4,1,2,0.1,LOW,35.08
11,46.6,3,22,1,5.2,LOW,56.61
13,42.3,2,19,1,16.3,LOW,52.39
14,47.6,2,7,3,1.7,MEDIUM,55.43
17,63.9,2,21,3,25.4,MEDIUM,80.07
18,59.9,2,11,2,10.8,MEDIUM,58.34
4,15.0,2,3,3,11.5,LOW,34.25
5,15.0,3,4,2,8.8,LOW,36.32
12,42.7,2,12,2,4.7,LOW,48.76
9,27.6,1,14,1,4.9,LOW,34.63
8,15.0,5,22,1,14.6,LOW,54.04
14,42.8,2,15,1,1.2,LOW,44.39
19,62.3,2,9,2,5.9,MEDIUM,68.83
12,37.9,3,22,3,3.0,LOW,41.1
13,51.0,2,15,2,33.2,MEDIUM,55.53
19,68.5,2,11,1,0.0,MEDIUM,59.16
5,16.1,3,16,1,0.5,LOW,30.55
7,16.2,1,15,1,27.4,LOW,28.96
18,65.4,2,11,1,6.3,MEDIUM,63.96
5,25.8,1,7,2,1.2,LOW,28.62
15,61.4,2,19,3,4.8,MEDIUM,53.84
10,32.4,1,2,1,3.1,LOW,39.16
11,41.0,3,15,1,19.4,LOW,48.03
13,40.3,1,12,2,9.3,LOW,45.27
13,39.3,4,22,1,1.1,LOW,47.78
21,75.7,4,18,3,6.2,HIGH,85.76
8,19.7,2,7,1,1.2,LOW,21.85
17,54.9,2,21,1,8.8,MEDIUM,64.37
8,34.1,3,4,1,10.4,LOW,36.7
20,65.0,1,19,1,6.6,MEDIUM,61.85
7,17.6,1,7,2,27.0,LOW,40.9
9,42.6,1,23,1,23.1,LOW,38.6
22,78.2,2,11,1,1.8,HIGH,66.26
